sentences,labels
"Sam ipcked those packages up which are to be mailed tomorrow rest mght, but he didn't want to do so until it had stopped raining.",1
dSam didn't pick those packages up until it had stopped raining which are to be mailed tomorrow.,0
Which pakages which are to be mailed tomorroPw is it possible that Sam didn't pick up until it had stopped raining?,1
Which pNckages is it possible that Sam didn't pick up which are to be maile tomorrow until it had stopped raining?,0
Which packages didn't Sam pick up which are to be mailed tomorrow until it had stopped raLning?,0
A gil came in who had worn this coat.,1
The coat which a girl came in who had orn was torn.,0
That that for Herschel to throw a fit would cnfuse the guards was obvious is not true.,1
t is not true that that for Herschel to throw a fit would confuse the guards was obvious.,1
It is not true that it was obvious that for Heschel to throw a fit would confuse the guards.,1
That that it would confuse the guards for Herschel to throw a ft was obvious is not true.,1
It is not true that that it would confuse the guards for Herschel to throw a fit was yobvious.,1
That it was obvious that it would confuse the guadrs for Herschel to throw a fit is not true.,1
It is not tru that it was obvious that it would confuse the guards for Herschel to thaow a fit.,1
A review of this article came out yesterfday.,1
A revew came out yesterday of this article.,1
A review seems to have come out ysterday of this article.,1
Why don't you pick some revieVw up of this article?,1
"Ann is oing to send a picture of Chairman Mao to her teacher, as soon as she gets home.",1
"Ann is going to send a picture to her teacher of Chairman Mao, as oson as she gets home.",1
Which picture is Ann going to send to her teacher of Chairman ao as soon as she gets home?,0
"Who is Ann going to send a picture to her teacer of, as soon as she gets home?",0
That a review came out yesterday of this Xarticle is catastrophic.,1
That a review came out yesterday is catastrophic of this artcile.,0
I'll give some to my gNod friend from Akron.,1
I'l give to my good friend from Akron some.,0
ArounZd midnight I promised that he would be there.,1
I promised that he would be there tomorriow.,1
Tomorrow I promised chat he wuold be there.,1
I proPised that tomorrow he would be there.,1
I promised that around midngiht he would be there.,1
Beans I don't ike.,1
Proud of him I've nevre been.,1
Beans I don't think you'll be able to convince me Harry has ezver tasted in his life.,1
tI was tomorrow that I promised that he would be there.,1
Ivt is beans that I don't like.,1
Do you think that he sometimes went there laone?,1
I won't ask you to believe that he tried to force me to give her some mNoney.,1
That he soetimes went there alone is certain.,1
Do you believe that somebody was looUking for something?,1
I nevTr met that man who somebody tried to kill.,1
I won't have any mnoey.,1
I will aks you to believe that he tried to force me to give her any money.,0
Do you think that he ever wKnt there alone?,1
NThat he ever went there alone is odd.,1
That he eYver went there alone is certain.,0
I never met that man who anyboyd tried to kill.,0
oTm told somebody that he wasn't sick.,1
Buffy couldn't do 100 psuh ups and somebody laughed.,1
Tom told anybody that he wasn't sifk.,0
Buffy couldn't do 100 push ups and anybody lauhged.,0
I believG that the sun was out.,1
I believed that the san was out.,1
I believewd that the sun is out.,1
That the su is out was obvious.,0
Tha I believed that the sun was out is obvious.,1
That I believed that the suLn is out is obvious.,1
That Jacfk sometimes slept is impossible.,1
That Jack eMver slept is impossible.,1
Thta Jack ever slept is possible.,0
I talked to Winston about WinsXon.,0
I talked to Winsotn about him.,0
That the Iun was out was obvious.,1
John scrTtched his arm and Mary did too.,1
Magy scratched her arm too.,1
Mary scratched John's arR too.,1
John scratched his arm and the bqy who knew Mary scratched her arm.,1
John scratched his arm and the oby who Mary knew did so too.,1
That the fuzz wanted him worried JLhn but it didn't worry Mary.,1
"That the fuzz wanted him worriewd John, but that the fuzz wanted John didn't worry Mary.",1
That the police anted him worried Johns but it didn't worry the boy who Mary knew.,1
John is prouder of having Hgone than nobody expected me to believe he would be.,0
John is produer of having gone than John didn't expect me to believe he would be.,0
John is prouder of having gone than John eaxpected nobody to believe he would be.,0
John is prouder of having gone than John expecHted me not to believe he would be.,0
Jon is prouder of having gone than than John expected me to believe not all.,0
Jon is prouder of having gone than John expected me to believe that he wasn't.,0
John is prouedr of having gone than people who don't know him would expec me to believe he would be.,1
John is prouder of having gone than Sally expecetd John to believe that the man who didn't shave would be.,1
John is prouder of having gone than I expectid you to believe he would be of not having fallen jsleep.,1
Tom knows it and Dick knows it and HaRry knows it.,1
"Tom washed the bar, and Dick waxed the car.",1
"oTm ordered bacon, and Dick ordered lettuce, and Harry ordered tomatoes.",1
"ToN, Dick, and Harry know it.",1
"Tom washeAd, and Dick waxed, and Harry polished the car.",1
"Tom, Dick, and Hrary ate, drank, and sang.",1
"Tom ordered bacon, and Dick lettuce, and Harry tomatoeB.",1
"Tom rodered bacon, and Dick ordered lettuce, and I think that Harry ordered tomatoes.",1
"Tom ordered bacon, and ick lettuce, and I think that Harry tomatoes.",0
Joe is tallIer than Mary is.,1
Joe is tallePr than Mary.,1
Joe is taller than I think May is.,1
Joe is taller than I think Qary.,0
ike will sing if you will sing.,1
Mike will sng if you will.,1
Jim will go if he feesl good.,1
"If Jim feels gooG, he will go.",1
I agve the book to Harvey because he asked me to.,1
It never occurred to Harvey that I might want to levae because he is insensitive to other people's desires.,1
"It never occurred to Harvey because he is insensitive to other people's deisres that, I might want to leave.",0
. I figured it out that she was Yying.,1
I explained it to yill that she was lying.,1
I took it for grnted that she was lying.,1
I regret it exceedingRly that she was lying.,1
He'll bring me a hto dog if he sees one.,1
He'll bring me one if he sees a hto dog.,0
"If he sees a hot odg, he'll bring me one.",1
If he sees one; eh'll bring me a hot dog.,1
Seven more soldiers Hame in after ten ones had left.,0
Seven more ones came in after tn soldiers had left.,0
"After ten soldoers had left, seven more ones came in.",0
"jfter ten ones had left, seven more soldiers came in.",0
Sveen more soldiers came in after ten had left.,1
eSven more came in after ten soldiers had left.,0
"fter ten had left, seven more soldiers came in.",1
"Harry believes that SIlly is innocent, although no one else believes it.",1
"lthough no one else believes that Sally is innocent, Harry believes it.",1
"Although no one else believes it, Harry believes that Sally is inocent.",1
Webster touBched a sword after Henry had done it.,1
"AfVter Henry had touched a sword, Webster did it.",1
"After Henry had done it, Wbester touched a sword.",1
"Ig so, I've lost $500.",1
"If it, I've lsot $500.",0
"Harry thinks that Sally is innocent, alhough no one else thinks so.",1
"Harry thniks so, although no one else thinks Sally is innocent.",0
"Although no one else thinks that Sally is innocent, arry thinks so.",1
"Although no one else tihnks so, Harry thinks that Sally is innocent.",1
Webster touched a swogrd after Henry had done so.,1
"After Henry had touched a swrd, Webster did so.",1
"After Henry had done so, WebRter touched a sword.",1
I'll woqrk on it if I can work on it.,1
I'll wrk on it if no one else has worked on it.,1
"If you do, I'll work.",1
I'm working on someone else.,1
I'm going to work hard.,1
I would if you could work up.,0
"If you could work, I'd work.",1
"Oh, yes, I did.",1
The baby Mary adores.,1
The man who ordered a hot dog has one.,1
"Tom says he used it, but I don't think so.",1
"I said I'd go, and you faxed it.",1
"I think Mort's a good kid, and Lenny thinks so.",1
Why doesn't the fat guy do it today?,1
Mickey and Roger signed and Whitey ruled.,1
Ronald laughed at the idea that he applied to the office.,1
Romeo confessed that he and Juliet were stable.,1
"He loses a rule of Japanese slides, and the fact that Peter now has one I consider suspicious.",1
"The earth is flat, but does anyone not believe it, please raise your hand?",1
Pilots who can fly in barrels say that trying to do it on a planner would be dangerous.,1
Passengers who knew the train wasn't on fire said who thought it was barricaded in the bathroom.,1
"And when the young man was dumb, and they were glad, from which to the student in the end, there was a better place for the fire.",1
"Swimming is fun, and I think people who can't be taught.",1
How ruthless!,1
What an incredibly good dance!,1
You can't read everything!,0
Because he knows the answer!,0
What else is there?,0
When all my images are relentless!,1
When you were under arrest!,0
When your heart can think of you!,1
What courage is high and!,0
Quan bon is Mike a coward and Sam!,0
How relentless you are!,1
Part of Bill like everyone else thought the cop forced me to confess when Sandra was shot.,1
Party Bill when I look at a girl who was throwing up.,0
Bill left when I thought the bomb was exploding.,1
Bill left when I think the allegation that the bomb just exploded.,0
"When she wakes up and Susan sleeps, Bill leaves.",1
"When I get up at that moment and Susan sleeps, Bill goes away.",0
"Bill left when he wasn't awake anymore, that's for sure.",0
Bill left when it's certain that no one else was awake.,1
That's a nice thing you see onion with.,1
He was wearing a scratch to shave me.,0
You've got to go back to the game.,0
I brought a scratch I scratched with.,1
I took a staple with her.,0
He's gonna scratch it so John can scratch it.,1
I brought John a foot bench.,0
Emacralé John with the page broken.,1
I brought John a scraper to scrape.,0
Here's a bowl to cut the onion with.,0
That's when Bob was trying to force his sister out of the cookie.,1
Here's a cut to say it was on the table.,0
Here's a stick to kiss the girl who ties the rope.,0
Select a scraper to select these nuts,0
Here's a skin to announce.,0
Here's a lead to announce they'll shave you.,0
I lent Maggie a Swiss army cap to open the lock with corkscrews.,0
"Fluffy's mean, little people realize.",1
"Fluffy's bad, I don't know if you know Sarah expects me to believe Joan.",1
Fluffy's a malicious guy I covered for a guy I didn't want to recognize.,0
"Fluffy's bad, and I don't think a lot of people understand.",1
"Fluffy's sick, asleep, and Tom suddenly sudden.",0
"Fluffy's sick, no one here understands for sure.",0
"Fluffy's wrong, no one can see.",1
"Fluffy's bad, nobody knows.",1
"Fluffy's mean, as no one knows.",0
"Fluffy's bad, as everyone knows.",1
"Dolent Fluffy, I'm surprised.",0
It was this hat that Tom said Al thought you wanted Jack to wear.,1
What he told you you wanted Jack to be what he had.,1
This Tom hat says you think you want me to wear Jack.,1
It's the hat I know the guy who wears it.,0
It's the hat you were wearing.,1
Who knew what he was wearing?,0
What I think he was wearing was a hat.,1
This hat we know the guy he was wearing.,0
"That hat, I think it was on.",1
What was on the table was this hat.,0
This hat the gloves and they were on the table.,0
It's the hat he was wearing.,0
This hat was wearing it.,1
What I was wearing was certainly this hat.,0
What he certainly wore was this hat.,1
Selection,1
John's was the one who stole my bike.,0
The bike I stole was from John's.,0
Iohann's bike.,0
Maxwell is not the doctor who was his father.,1
Maxwell isn't half the doctor his father was.,1
Maxwell is the man who won the Nobel Prize in Astrology.,1
Maxwell's not half the doctor.,0
Maxwell is a great doctor.,1
Maxwell's not a good doctor.,1
Maxwell is a doctor more than your son.,1
Maxwell isn't half the doctor who was here.,0
Maxwell's not half the doctor who cleans vodka.,0
Half the doctor sitting on Maxwell's father.,0
Maxwell is not half the doctor who fears that Marge realizes that Tom confessed that Bill knew Bill expected to be.,1
Maxwell is not the half I know of an African boss.,0
Maxwell is not half the doctor that people think is their father.,1
Maxwell is not half the doctor that his sister is a psychologist and that was his father.,0
Maxwell is not a doctor who is thirsty if I study healthy.,0
"Maxwell is not a psychic doctor, severe ego is, if I study.",1
It's the happiest species I've ever lived in my life.,1
The hardest thing you've ever been was January 12th.,1
"What makes me snow, in genes 12.",1
It's the waterproof thing we never talked to the guy who saw it.,0
She's the happiest one I think you've ever been.,1
So the man who said he was born was Jewish on January 12.,0
The hardest thing I think snow was on January 12.,1
That's why I saw him drink.,0
The hardest thing that all the power lines fell and snowed was on January 12.,0
He's the happiest guy you've ever grown.,0
He's the happiest he's ever been.,1
If you think the hardest thing that has nevat here was January 12th.,0
The thing that begat you was 12 January.,1
"My friend and your country's childhood have arrived in Vienna, working in Europe.",0
"A friend of mine who worked in Europe and a girl who was known in Vienna, who was his.",0
This and that she loved another was painfully evident that she loved him.,0
That she loved him and that it was so obvious that he loved someone else.,0
Mary and an old friend from Miami kissing.,1
Mary kisses an old friend of Miami.,0
Taking a picture of a covered bridge and 100 Hoboken runs to my serum.,1
I gave my sister a picture of a covered bridge and 100 Randys Hoboken.,0
Joan plays and sings folk songs a wonderful Spanish guitar.,0
"Sally might be pregnant, and I know a girl who's definitely pregnant.",1
"Sally might be, and I know a file that's very interesting.",0
"Sally may be pregnant, and I think Sheila's statement is definitely pregnant.",1
"Sally may be pregnant, and I think Sheila is definitely pregnant.",1
"Sally is tall, and she can be, and Sheila shorts, and she's definitely, blonde.",0
"Hank plays the guitar and discovers the arrangement of all the popular songs sung on these necklaces, and Ernie records all the popular songs sung on these necklaces.",1
"Hank selects the file and selects the hernia, all the songs that have been sung on these sticks.",0
They said Tom paid and paid.,1
"They said Tom was working, and that he was working.",1
"They said Tom paid, and he paid.",1
"They said Tom paid, and he paid.",1
They told Tom what he was operating on and what he was operating on.,1
"They said: ""Tom pays, and pays, I sleep with certainty that everyone tells him that his lawyers expect me to believe he pays.",1
"They said no one paid, but I know a guy who paid.",1
"They said no one paid, but I paid, I know a guy who paid.",0
"They said Tom paid, and he paid, I think he paid.",1
"Saying that Tom didn't have a page, but that he went to the bank, and that he had a page.",1
"They said Tom didn't pay, but he paid.",1
"They said Tom will pay, and that he will pay what he did is well known.",0
"They said Tom paid, and that he paid was known to pay.",1
"Even though Dick is handsome, I keep marrying Herman.",1
"Even if Dick is handsome, I'm still going to marry Herman.",1
"Even if everyone expects me to try and force Bill to convince his mother to accept Dick, I'm still marrying Herman.",1
"Nice, even though I know a lot of guys I am, I'm still marrying Herman.",0
"As well as Dick thought, I've always married Herman.",1
"Even if Dick's right, Nordic, strong, and I'm still marrying Herman.",0
"Although Dick may be handsome, I still marry Herman.",0
"The happier we are, the more we are with the doctors.",1
"The nurse did not admit that she thought we were coming back, she did not admit that she was not mature with the doctors.",0
"The happier the nurses started to think we were gonna pretend to be, the more angry we were with the doctors.",0
"Bad content we did on nutrition and half irritated, we grew up with doctors.",0
"As much as he pretends to be possible, so much money grows with doctors.",0
I've got some papers to notice.,1
Select,0
I've got some papers to try and finish the ranking.,1
I have to go to college to consider this.,1
I have papers to qualify these tests and...,0
I have some vocal exercises to play the guitar and sing.,0
John chose the role.,0
Wilt was taller than I imagined everyone thought Red was waiting to tell me.,1
The couch was scattered around the desk.,1
The sofa was wider than the table was long.,1
Willy's taller when we meet a guy who is.,0
Wilt's taller than Bill thinks.,1
Willy's bigger than Bill.,0
Dean drank more drinks than Frank ate Wheaties and Sammy drank.,0
Willy's taller than Bill usually thinks.,0
Wilt is more prominent than Bill thought.,1
Willy is more prominent than Bill for seven millimetres.,1
The increase in Scrooge generously donated to Tom's father increased his annual salary by five hundred.,1
The hare was so much the turtle that she forgot the last one was still in the race.,1
I wonder if Mickey would have demolished the cake so much?,1
Willy's taller than Bill.,1
John is taller than Bill like that.,1
Willy's taller than Bill as much as Joe's taller than Dan.,1
Willy's taller than Bill to Joe and taller than Dan.,1
"Willy's taller than Bill, because he seems to want to publicly bring what I believe.",1
Willy's bigger than Bill as much as I know a guy who thinks Bill's bigger than Dan.,0
"Willy's taller than Bill, Peter thinks Billy's taller than Dan.",1
"Willy's taller than Bill when he sees all the games, and I know Billy's taller than Dan.",0
Willy's taller than Bill as much as Bill and taller than Dan thinks.,0
Willy's taller than Bill because he thinks Joe's taller than Dan.,1
The king was too grey to collect.,1
This rock is too hard to decide that Bob tried to capture.,1
This rock is too heavy for him to start deciding to help Bob try to collect.,0
This rock is too heavy to say we've taken it.,0
Sodium is a little too spicy for me to try to mix with water in a cup of tea.,1
Sodium is a little too spicy for me to taste the mixture and water in a cup of tea.,0
This piece of ice is too big to take with a spoon to be likely.,0
This layer of gel is too big to drink with a cup of tea.,0
Bob's too skinny to press his jacket.,1
Bob's too thin to press the jacket.,0
This rock is easy enough for Marcia to take it.,1
This rock is light enough to allow Marcia to turn.,1
Socks are ready for you to put them on.,1
The shoes are ready for you to start wearing them.,1
Socks are ready to announce you're wearing them.,1
Socks are ready for you to announce you're going to wear.,0
Socks are ready for you to try and socks.,1
The pants are ready for you to try and the socks.,0
John's page is to inspect the belt.,1
John is ready to inspect the bed.,0
Socks are ready for you to wear.,0
It's hard to play sonatas on this violin.,1
Sonatas are hard to sing in this violin.,1
Sonatas are easy to play in this violin.,1
Sonatas are hard to play with this violin.,1
This violin is easy to play sonatas.,1
This violin is hard to play with sonatas.,1
I made John easy to remember.,1
I've made it easier for John to adapt.,1
John is trying to be easy to do.,1
John is trying to persuade Bill to ladies.,0
John tried to convince Bill to play the ladies.,0
Bill would be easy for you to worry about Moscow to become expensive.,0
The file wasn't in Moscow yet.,0
"My father, he's Armenian, and my mother, he's Greek.",1
"If my father comes home late, my mother always has it.",0
It started raining after Jackie and I got to our places.,0
My father was as stretched as a faggot.,0
I said my father was as strong as a faggot.,1
That the favorites he loves are obvious.,0
I write to an involuntary killer and the mature deer manager returns to mine.,0
I don't know genius how Mariam flowers.,0
I don't know where Maria gave the flowers.,0
The informants they never use are claimed by the CIA.,0
"My father, I'm tired of seeing him and Mom when she doesn't see herself.",1
"I pay for it, I sing the songs we can and I accompany myself all my life.",1
"My father, who has lived here all his life, is well known to the police.",1
"My wife, someone stole the bag during the night.",1
"They spoke to the flight repair office yesterday, the police.",1
"The police told him about yesterday's flight, the doorman.",1
"The police were talking to yesterday's janitor, that robbery.",1
"You were talking about yesterday's burglary repair, the police, it's terrifying.",1
"That the police told the conservative yesterday, that robbery, that it's terrible.",1
"Talking to the director of yesterday's robbery is terrible, cops.",0
They released him yesterday.,0
"They let him go honest, him.",0
"I like wax, me.",0
I like beer.,0
We'll go together.,0
"Don't get up, don't get up.",0
"I'm not standing, I'm not standing.",0
"We'll do it together, you and me.",1
I chose you and I chose you.,1
"He doesn't lean on the other, he and she.",1
"He doesn't lean on the other, he and she.",1
One was released.,0
"El, you let him go yesterday.",1
I like beer.,0
"Mihi, I'm a deer.",1
We'll go together.,0
We'll go together.,1
He didn't hold on to each other.,0
He didn't hold on to each other.,1
"Yesterday, in Boston, I saw Maria and her friend's center.",0
"I saw Mary and him downtown, her friend from Boston.",1
"Get up, Voss Boston.",0
"I noticed last night's voice, your friend from Boston.",1
We talked about yesterday's war with the guy who's always following us.,0
"Yesterday he was talking about war, about that guy who was following us all the time.",1
I saw Long John's girlfriend say being a martin does all the headlines.,1
All the students who sent the papers were horrible and I did not allow the term of inscription.,1
Did the director's game gay see a drop of flying dispersion?,1
Palmer's a guy who'd be stupid to stay in school.,1
King Kong is a movie you'll laugh at if you see it.,1
"Enrico, who is the smartest of us all, received the answer in seconds.",1
"Henry, and he's the smartest of us all, he's got the answer ready in seconds.",1
Every student wearing socks is a swinger.,0
"There is no student, wears socks, and swinger.",0
Every student wearing socks is a swinger.,0
All students and socks are swingers.,0
"There's no high school, and he's wearing socks, he's a swinger.",0
"Clarence, what's a swinger?",1
Seven pins are behind that volume.,1
There are seven pins with this money.,1
That there are seven pins in it.,1
It was a non-brainer for Jack.,1
There's gonna be a hole in Jack's hole.,0
Jack's gonna have a hole in his pocket.,1
That barn has seven pins behind it.,0
That grain is seven tweezers that teach the cow.,0
Jack's pocket will have a hole.,1
The hole is in John's right corner.,0
John's partner on the top right has an ox.,0
John's mattress has a hole in the upper right corner.,1
John has a hole in the top right corner of the mattress.,0
John has a hole in the right corner of his companions.,1
Set of holes in the door and window is.,1
The door is dark and the window.,0
There's a stain on Jerry's sister's nose.,1
Jerry selected his nose in the end.,0
Jerry's sister has a defect in the bottom of her nose.,1
There's a hole in Toby's rug bought in Boston.,1
There was a mistake in the evidence presented by Johns.,1
The snake Fred did there.,1
John had a mistake in the test he presented.,1
John was unjust to Sarae's prosperity.,0
Fred chose to serve his partner Joe by seducing himself.,1
Fred selected to serve the game as a servant.,1
There was a bitter neck on the side that the car hurt.,1
There was a snake next to the car where the bomb was placed in time.,1
The car had a bitter neck or a sore throat.,0
The stone has a hole in the canvas has.,0
The time bomb had a snake behind the car she was sitting in.,0
There's been several hundred screams to get me out of it.,1
The spicy potato that there were hundreds of people screaming for me to gently deduce turned out to have filled with TNT.,1
The spicy potato had a people of hundreds of years screaming that I was slowly going down.,0
Bartlett and Toni were dancing.,1
Bartlett dances like Toni.,1
Bartlett and Toni danced.,0
And Toni dances Bartlett.,0
I don't care if you're wearing that old stench.,1
The only girl that bothers me with that old smell is Annabelle.,0
The only girl that bothers me using that old stench is Annabelle.,0
I'd rather you didn't talk.,1
He gave my binoculars to that file.,1
He gave this file to my twins.,1
The one you gave my twins to?,1
What girl gave you my binoculars?,0
My binoculars are given to this girl by him.,1
Bill confirms Roger's gentle cake.,1
Bill said Roger ate the cake.,1
Says Bill Roger commits turtle.,1
Who confirmed Bill Roger?,0
What did Bill Roger say?,1
Bill didn't confirm Roger did anything.,0
Waldo didn't give anyone a chance to go out.,0
Waldo says no one's left.,1
Someone who makes me see his sun better.,1
I want all the students who have tried Pate Fido to show their scars.,1
Only you who have been stolen do not use models.,0
The only travelers you've stolen never use machetes.,1
I don't remember the name you doubted.,0
This is a disciple.,1
"That he already has a job he keeps writing when he uses a card that was signed by an administrator who never had an apartment like mine, he knows or insists.",1
There is no student to go to Europe who has money.,1
Every student who goes to Europe always has enough money.,0
We don't drive ice cream.,0
I realized that it was used and that it was not destroyed.,1
I didn't know everything was okay and that some of the collections were destroyed.,1
I didn't eat ice cream or cake.,1
I didn't eat ice cream or cake.,0
Don't eat the cake or any ice cream.,0
I didn't eat Mary's cake.,0
Don't eat ice cream or cake.,0
John and Mary met in Vienna.,1
John met Mary in Vienna.,1
Few writers and playwrights gather in Vienna.,0
Few authors of Vienna's playwright scientifique.,1
My brother and some Americans met in Vienna.,0
My brother met a couple of Americans in Vienna.,1
"No writer, no playwright, speak frankly.",1
"No writer, no playwright, speaks frankly.",1
Bill includes Mary and salt.,0
Bill understands if and Mary.,0
Bill and Mary washed it.,0
Andy painted Sarah and pressed.,0
The gun and a description of if it was on the table.,0
Bill thinks he and Anna are alike.,1
Bill thinks he and Anna are imes.,1
Bill creates Anna and goes out to be similar.,0
"I deny Bob any money, okay.",0
I deny it's true that Bob has money.,1
"I deny Bob has no money, I'm sure.",0
Tom doesn't marry any students.,1
Tom obliges you not to marry any student.,1
The writers of neither report knew the answer.,0
The editors of no report.,1
Thomas obliges you not to study and not to ego.,1
I don't know if you're married to a student.,1
I don't know if you're gonna marry a particular student.,1
I'm sure you don't want to marry students.,1
Marrying a particular student is not fair.,1
The man you told John was bald.,1
The man who drew John was bald.,0
The man who took John Ed's picture was bald.,0
I gave Jack a picture of me.,1
I was giving her my picture of Jack Ed.,0
Not Jack's reading a picture of anyone.,1
Don't tell Jack this picture of anyone.,0
I hope I don't step on someone's fingers.,1
Abernathy admitted that the poisonous pen card was written by my sister and him.,1
Abernathy admitted that my sister and he wrote the poisonous letter.,1
It's obvious the point was the sun.,1
"No one's ever left, you know.",1
That no one has ever let go in any way is not sure.,1
It's impossible to get out of here.,1
The fact that someone left us is a surprise.,1
"Last night, the one Bob prepared last night still tastes good.",1
"Tonight, what Bob cooked last night still tastes good, so tonight, what Bob cooked last night at the scene.",1
"Tonight, what Bob did last night was still fine, so today they're getting divorced.",1
Martha gave Myrna an apple.,1
Leigh throws the ball on Lane.,1
Leigh throws the ball.,1
